tank,tray,Popn,temp,ph,condition,treatment,id,height_t0_mm,height_t37_mm,shell_total_mg,body_dry_mg,cond_ratio
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_2,9.235,9.714,33.1,1.3,0.0393
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_3,9.2,10.096,38.6,0.9,0.0233
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_4,9.772,10.759,48.9,2.4,0.0491
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_6,8.313,11.318,50.3,1.4,0.0278
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_7,10.109,11.19,48.3,2.2,0.0455
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_8,9.977,10.458,43.4,1.4,0.0323
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_9,11.778,12.599,69.2,3.2,0.0462
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_10,12.769,13.458,109.9,4,0.0364
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_11,11.677,11.933,69.2,1.8,0.0260
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_12,10.548,11.942,64.7,2.7,0.0417
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_2,9.904,9.926,39,1.6,0.0410
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_3,10.024,10.369,43.3,1.5,0.0346
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_5,9.756,10.854,42,1.9,0.0452
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_6,10.005,11.555,54,2.2,0.0407
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_7,10.658,10.896,56.2,2,0.0356
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_8,11.276,12.455,67.7,3.2,0.0473
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_9,7.925,8.442,23,0.4,0.0174
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_10,9.76,10.507,41.2,1.6,0.0388
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_11,11.991,12.513,71.7,3.3,0.0460
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_12,10.853,12.523,75.6,3.8,0.0503
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_1,10.146,10.603,45.9,2.1,0.0458
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_2,13.037,13.098,97,3.8,0.0392
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_3,8.536,8.72,25,0.3,0.0120
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_4,9.579,10.67,44,2,0.0455
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_5,9.793,10.989,52.8,2.5,0.0473
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_6,11.34,12.672,76.4,3.1,0.0406
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_7,10.55,11.16,54.9,2.3,0.0419
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_8,11.887,12.305,79.5,2.8,0.0352
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_9,6.954,8.427,29.1,1.6,0.0550
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_10,8.517,10.019,40.6,0.8,0.0197
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_11,8.863,10.086,43.6,1.4,0.0321
R6,No18,NOR,19,low,19_low,NOR_19_low,No18_12,9.484,10.003,42,1.4,0.0333
R1,No01,NOR,13,ctrl,13_ctrl,NOR_13_ctrl,No01_A,12.956,14.371,101.7,4.9,0.0482
R1,No01,NOR,13,ctrl,13_ctrl,NOR_13_ctrl,No01_B,12.718,15.405,149.1,6.7,0.0449
R1,No01,NOR,13,ctrl,13_ctrl,NOR_13_ctrl,No01_C,12.132,13.702,95.3,4.5,0.0472
R1,No01,NOR,13,ctrl,13_ctrl,NOR_13_ctrl,No01_D,10.957,13.342,92.7,4.4,0.0475
R1,No03,NOR,13,ctrl,13_ctrl,NOR_13_ctrl,No03_B,11.637,12.594,74.4,3.1,0.0417
R1,No03,NOR,13,ctrl,13_ctrl,NOR_13_ctrl,No03_C,7.493,8.685,23,1,0.0435
R1,No03,NOR,13,ctrl,13_ctrl,NOR_13_ctrl,No03_E,12.889,15.016,79.6,5.3,0.0666
R2,No04,NOR,13,low,13_low,NOR_13_low,No04_B,13.017,15.026,144.2,6.9,0.0479
R2,No04,NOR,13,low,13_low,NOR_13_low,No04_G,12.336,14.473,127.7,6.2,0.0486
R2,No04,NOR,13,low,13_low,NOR_13_low,No04_H,13.213,15.555,136.2,7,0.0514
R2,No05,NOR,13,low,13_low,NOR_13_low,No05_A,14.307,16.716,211.8,9.4,0.0444
R2,No05,NOR,13,low,13_low,NOR_13_low,No05_B,12.656,14.451,108.8,4.5,0.0414
R2,No05,NOR,13,low,13_low,NOR_13_low,No05_C,13.576,15.469,163.5,6.9,0.0422
R2,No05,NOR,13,low,13_low,NOR_13_low,No05_D,12.486,16.065,179.4,8.8,0.0491
R2,No06,NOR,13,low,13_low,NOR_13_low,No06_A,12.173,13.859,111.7,5.2,0.0466
R2,No06,NOR,13,low,13_low,NOR_13_low,No06_B,12.564,13.856,117.5,5,0.0426
R2,No06,NOR,13,low,13_low,NOR_13_low,No06_C,12.115,14.144,117.6,5.5,0.0468
R2,No06,NOR,13,low,13_low,NOR_13_low,No06_D,6.794,8.562,21.4,0.8,0.0374
R2,No06,NOR,13,low,13_low,NOR_13_low,No06_E,8.943,9.81,31.8,1.3,0.0409
R3,No07,NOR,16,ctrl,16_ctrl,NOR_16_ctrl,No07_B,14.712,15.766,168.8,6.2,0.0367
R3,No07,NOR,16,ctrl,16_ctrl,NOR_16_ctrl,No07_C,11.424,13.533,81,3.9,0.0481
R3,No07,NOR,16,ctrl,16_ctrl,NOR_16_ctrl,No07_D,12.806,14.412,117.9,5.4,0.0458
R3,No07,NOR,16,ctrl,16_ctrl,NOR_16_ctrl,No07_F,12.274,14.45,120.7,5.5,0.0456
R3,No09,NOR,16,ctrl,16_ctrl,NOR_16_ctrl,No09_A,11.936,14.412,115.2,4.6,0.0399
R3,No09,NOR,16,ctrl,16_ctrl,NOR_16_ctrl,No09_B,13.902,15.393,162.1,7.8,0.0481
R3,No09,NOR,16,ctrl,16_ctrl,NOR_16_ctrl,No09_D,13.786,15.674,165.7,7.8,0.0471
R3,No09,NOR,16,ctrl,16_ctrl,NOR_16_ctrl,No09_G,10.639,13.225,82.1,4,0.0487
R3,No09,NOR,16,ctrl,16_ctrl,NOR_16_ctrl,No09_H,13.5,15.664,154.6,7.6,0.0492
R4,No10,NOR,16,low,16_low,NOR_16_low,No10_A,9.255,9.849,38.6,1.5,0.0389
R4,No10,NOR,16,low,16_low,NOR_16_low,No10_B,11.132,14.169,95,4.7,0.0495
R4,No10,NOR,16,low,16_low,NOR_16_low,No10_C,9.054,10.904,48.2,2.3,0.0477
R4,No10,NOR,16,low,16_low,NOR_16_low,No10_D,8.84,10.245,33.7,1.2,0.0356
R4,No10,NOR,16,low,16_low,NOR_16_low,No10_E,13.274,13.88,115.9,4.9,0.0423
R4,No10,NOR,16,low,16_low,NOR_16_low,No10_F,12.838,14.635,120.6,5.2,0.0431
R4,No10,NOR,16,low,16_low,NOR_16_low,No10_G,10.789,12.931,75.8,3.7,0.0488
R4,No10,NOR,16,low,16_low,NOR_16_low,No10_H,12.397,14.504,115.8,5.3,0.0458
R4,No11,NOR,16,low,16_low,NOR_16_low,No11_B,13.17,14.866,126.2,6,0.0475
R4,No11,NOR,16,low,16_low,NOR_16_low,No11_C,14.684,16.648,203.4,7.1,0.0349
R4,No11,NOR,16,low,16_low,NOR_16_low,No11_D,15.903,17.029,230.3,10,0.0434
R4,No11,NOR,16,low,16_low,NOR_16_low,No11_E,16.072,18.797,325.5,15.2,0.0467
R4,No12,NOR,16,low,16_low,NOR_16_low,No12_B,10.726,11.375,62.1,2.3,0.0370
R4,No12,NOR,16,low,16_low,NOR_16_low,No12_C,11.919,12.812,73.6,3.8,0.0516
R4,No12,NOR,16,low,16_low,NOR_16_low,No12_E,8.175,9.312,26,1.2,0.0462
R4,No12,NOR,16,low,16_low,NOR_16_low,No12_F,6.533,7.451,15,0.8,0.0533
R4,No12,NOR,16,low,16_low,NOR_16_low,No12_G,12.136,13.462,94.7,3.3,0.0348
R4,No12,NOR,16,low,16_low,NOR_16_low,No12_H,12.787,14.649,124.3,5.6,0.0451
R4,No12,NOR,16,low,16_low,NOR_16_low,No12_I,14.679,16.601,207.4,8.1,0.0391
R5,No13,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No13_B,13.679,14.886,129.3,5,0.0387
R5,No13,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No13_C,13.005,14.937,135.4,6.2,0.0458
R5,No14,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No14_B,8.275,9.192,25.7,1.3,0.0506
R5,No14,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No14_D,12.806,13.557,109.5,4.7,0.0429
R5,No14,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No14_E,13.44,15.088,144.8,6.5,0.0449
R5,No14,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No14_F,14.731,17.279,214.2,10.1,0.0472
R5,No15,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No15_A,8.166,10.219,37.5,1.4,0.0373
R5,No15,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No15_B,11.363,12.659,78,3.5,0.0449
R5,No15,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No15_C,11.435,13.551,89.1,3.3,0.0370
R5,No15,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No15_D,7.063,7.731,18,0.6,0.0333
R5,No15,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No15_E,8.922,12.759,71.7,3.1,0.0432
R5,No15,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No15_F,11.121,13.351,82.9,3.7,0.0446
R5,No15,NOR,19,ctrl,19_ctrl,NOR_19_ctrl,No15_G,12.241,14.076,112.9,4.7,0.0416
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_A,9.975,12.51,70.7,3.2,0.0453
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_B,14.087,16.153,192.1,6.7,0.0349
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_C,12.037,14.081,118.8,5.1,0.0429
R6,No16,NOR,19,low,19_low,NOR_19_low,No16_D,14.267,16.314,192.8,8.1,0.0420
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_A,14.444,15.822,172.7,6.5,0.0376
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_B,13.888,14.694,143.2,5.8,0.0405
R6,No17,NOR,19,low,19_low,NOR_19_low,No17_D,14.017,15.458,157.7,6.1,0.0387
